gene,spotX,spotY,parent_id,parent_prob
COL3A1,1969.052,246.713,0,1.0
COL3A1,1341.727,264.2323,0,1.0
PCSK1N,1221.897,283.8333,0,1.0
CRABP2,1318.0,467.0928,0,1.0
ELN,1608.051,470.5763,0,1.0
FAM210B,1722.451,470.0986,0,1.0
COL3A1,1960.207,521.3678,0,0.998249
COL1A1,1989.623,593.1507,2,0.99749
RSPO3,1979.526,600.8596,2,0.990617
MFAP2,1992.701,610.954,2,0.99133
COL1A2,1509.833,617.3519,0,0.999959
RSPO3,1812.8,616.4476,0,1.0
CRABP2,1862.96,649.168,0,0.999843
COL3A1,1692.211,655.9556,0,0.978998
COL1A2,1798.383,659.2766,0,0.506428
ELN,1981.142,659.3121,0,0.692598
CPE,1822.206,663.7059,0,0.824814
PTN,1878.5,665.5,0,0.995662
COL1A1,1798.841,667.5072,5,0.729306
MFAP2,1832.933,683.2,5,0.585309
COL1A2,1848.062,686.1538,5,0.763248
COL1A2,1655.203,688.6563,0,0.999886
CLDN5,1981.0,690.0,0,0.933251
TCF21,1714.809,693.6336,0,0.782669
TCIM,1798.151,694.0189,5,0.852578
COL3A1,1849.422,697.8438,5,0.860298
SLC39A8,1917.395,697.7566,0,0.834105
NAV1,1835.278,698.5,5,0.819277
PTN,1802.469,703.8281,5,0.993695
MT1F,1949.524,710.5035,0,0.878578
CPE,1825.75,713.9306,5,0.961044
LUM,1813.742,717.4242,5,0.988913
CPE,1897.808,736.1635,0,0.998921
COL1A2,1574.929,737.5714,0,1.0
ELN,1823.831,737.9775,5,0.930215
COL1A2,1916.256,737.5244,0,0.997163
EBF2,1960.212,742.1825,0,0.99889
TCF21,1743.775,741.5506,6,0.98569
EBF2,1940.54,744.5714,0,0.998434
COL1A2,1769.731,747.1923,6,0.984935
COL3A1,1824.786,748.9524,5,0.768646
MFAP2,1757.709,749.7864,6,0.993237
COL1A2,1831.647,753.4706,5,0.4996
COL1A2,1681.045,754.9545,0,0.988956
MYRF,1690.899,754.6239,0,0.999401
FAM46C,1959.891,755.0364,0,0.999791
MFAP2,1759.533,761.6889,6,0.988725
LUM,1752.356,764.3,6,0.974852
MFAP2,1746.692,766.5,6,0.98744
FAM210B,1894.811,769.6622,0,0.999985
CRABP2,1737.22,776.0169,6,0.917598
COL1A2,1809.294,775.7941,7,0.990125
PTN,1917.35,775.7333,0,0.999319
COL1A2,1782.024,782.7143,7,0.976016
SLC39A8,1895.343,782.806,0,0.999986
OGN,1805.945,782.8,7,0.864207
COL1A2,1864.504,789.2481,0,0.954271
COL3A1,1896.031,789.4375,0,0.999488
COL1A2,1920.196,791.9643,0,0.965013
MFAP2,1790.713,793.7931,7,0.969854
CRABP2,1965.78,799.0169,0,0.902389
SLC39A8,1924.194,800.1531,0,0.991564
COL1A1,1693.326,801.6279,0,0.995605
MFAP2,1902.475,805.0808,0,0.99722
MFAP2,1862.73,806.2162,0,0.991008
COL3A1,1894.882,811.8545,0,0.996411
GJA4,1873.708,812.4923,0,0.999592
COL3A1,1504.091,815.4545,0,1.0
COL1A1,1924.0,818.7273,0,0.721888
PAM,1849.685,818.7778,0,0.990623
NUSAP1,1735.942,819.9504,0,0.994288
TRIL,1809.369,822.1359,0,0.939696
PAM,1846.209,824.0698,0,0.989799
SLC39A8,1936.425,831.25,8,0.507348
NUSAP1,1776.12,833.02,0,0.92251
COL1A1,1988.021,833.4792,8,0.959248
CRABP2,1695.222,838.3667,0,0.99755
COL1A1,1990.057,839.0,8,0.953366
MFAP2,1813.306,842.7313,0,0.946223
CLDN5,1837.77,846.8033,0,0.999005
COL1A1,1628.406,849.4493,9,0.996501
CLDN5,1949.193,847.9825,8,0.983632
CDK1,1881.777,849.7857,0,0.999248
COL1A1,1624.578,855.1111,9,0.996588
ELN,1836.648,856.3203,0,0.999669
FAM210B,1758.434,861.8026,0,0.99988
FBLN5,1627.7,864.6778,9,0.903127
FAM210B,1762.936,865.9787,0,0.999916
EBF2,1954.802,865.407,0,0.587021
TOP2A,1834.31,871.0,0,0.999969
EBF2,1919.231,874.8077,10,0.803663
MFAP2,1685.03,876.9192,0,0.977081
COL1A1,1945.117,878.9126,10,0.997368
COL3A1,1725.269,885.0385,0,0.999972
CLDN5,1869.391,885.0435,0,0.999973
COL1A1,1948.426,885.1311,10,0.998088
MFAP2,1837.158,888.2544,0,0.999998
TCIM,1807.766,890.1688,0,0.999999
COL1A2,1919.37,889.4488,10,0.989604
ELN,1931.648,890.9014,10,0.994486
COL3A1,1592.411,891.7671,0,0.571099
GJA4,1665.496,891.1795,0,0.956176
CRABP2,1597.097,896.0161,0,0.928782
FAM210B,1791.773,894.1104,0,1.0
CDK1,1818.725,894.575,0,1.0
SLC39A8,1546.706,895.035,0,0.999603
CLDN5,1865.586,896.1034,0,0.999983
GJA4,1668.31,897.5517,0,0.984265
EBF2,949.1031,898.4021,0,1.0
TOP2A,1846.025,901.6975,0,0.999993
ELN,1953.765,901.8971,10,0.995263
COL3A1,1972.308,905.6667,10,0.958622
ISLR,1710.0,906.1455,0,0.998742
SBSPON,1779.232,905.7172,0,0.999999
COL1A1,1628.45,909.1,13,0.548719
COL1A2,1531.667,909.2222,0,0.913618
NUSAP1,1857.5,907.7857,0,0.99991
COL1A2,1569.018,909.25,0,0.578834
NAV1,1892.644,910.1778,0,0.988459
OGN,1962.894,909.8511,10,0.992569
CCDC102B,1807.217,911.0,0,1.0
COL3A1,1952.12,911.1333,10,0.99776
MFAP2,1660.971,911.2,0,0.531861
ELN,1623.583,914.6875,13,0.645281
COL3A1,1946.74,913.46,10,0.997708
ISLR,1563.218,915.4713,0,0.669452
COL1A2,1775.215,915.0154,0,0.997483
COL1A1,1972.623,915.9906,10,0.935764
MFAP2,1828.799,917.5109,0,0.999998
COL3A1,1720.114,916.8571,0,0.987638
ISLR,1618.45,920.6333,0,0.645214
CLDN5,1852.298,919.7368,0,1.0
ELN,1639.773,921.7395,13,0.885236
ISLR,1716.278,921.2778,0,0.995979
COL3A1,1721.786,922.4643,0,0.970414
ISLR,1970.791,923.814,10,0.614538
PTN,1977.222,922.963,10,0.681171
ISLR,1605.216,924.2432,0,0.595025
FAM46C,1510.372,927.2151,0,0.876048
CLDN5,1874.276,928.8943,0,0.999976
PTN,1758.026,930.3816,0,0.848287
ALDH1A1,1826.085,930.8305,0,0.999999
SLC39A8,1910.265,929.7353,0,0.995206
COL3A1,1941.029,929.1176,10,0.993433
SLC39A8,1558.901,932.4725,0,0.870757
COL1A1,1978.694,933.4235,10,0.572716
COL3A1,1861.76,933.9733,0,0.99448
ISLR,1967.753,933.8961,0,0.515432
SLC39A8,1552.615,935.3846,0,0.874953
OGN,1956.174,935.5,10,0.965661
LRRN3,1624.656,936.7969,13,0.76692
CLDN5,1886.267,936.4,0,0.999896
EBF2,1765.982,937.8909,0,0.992705
ISLR,1586.661,940.5,14,0.97915
CLDN5,1917.212,941.1515,0,0.997975
COL1A1,1942.856,942.1923,10,0.861955
COL1A1,1770.145,943.7711,0,0.571134
CRABP2,1547.0,944.3871,14,0.976075
COL1A1,1565.447,945.766,14,0.9972
ELN,1577.0,945.4706,14,0.990967
CLDN5,1850.435,945.0652,0,0.999978
SLC39A8,1481.086,946.7312,0,0.947585
OGN,1491.012,945.6118,0,0.931339
OGN,1681.956,947.0222,13,0.980857
TRIL,1524.81,946.6329,0,0.990975
CLDN5,1876.623,947.4151,0,0.999868
MFAP2,1922.0,947.5,0,0.862299
CLDN5,1928.511,948.9556,0,0.998502
COL3A1,1984.636,949.8837,135,0.544439
COL1A2,1557.176,952.3611,14,0.995403
MYRF,1577.159,952.7101,14,0.814239
TOP2A,1899.064,952.6667,0,0.98281
MFAP2,1567.167,952.0,14,0.993794
COL3A1,1623.146,953.6829,13,0.978964
MFAP2,1568.712,954.4915,14,0.994385
MFAP2,1595.78,955.12,14,0.984659
COL1A2,1647.06,954.9167,13,0.996379
COL3A1,1766.36,955.74,15,0.635186
TOP2A,1906.346,955.3462,0,0.981088
TBX5,1588.915,955.8983,14,0.915061
MFAP2,1860.897,956.5931,0,0.892249
ELN,1654.902,956.6275,13,0.99682
COL1A1,1664.402,958.5464,13,0.997503
TOP2A,1920.609,958.3333,0,0.980078
OGN,1559.645,960.3871,14,0.995465
TCF21,1792.295,959.1023,0,0.966852
MYRF,1572.538,960.5256,14,0.841528
COL1A1,1777.171,961.7143,15,0.720497
COL1A2,1990.078,961.5581,135,0.952376
TBX5,1589.128,965.3617,14,0.924225
PTN,1959.791,964.4925,135,0.575917
COL1A2,1791.035,966.4118,0,0.692429
TOP2A,1611.66,966.44,13,0.81682
MFAP2,1639.673,967.2201,13,0.991422
TOP2A,1901.824,969.1765,0,0.887106
PTN,1991.272,971.1304,135,0.989071
OGN,1679.431,972.9846,13,0.883223
COL1A1,1656.385,975.6538,13,0.996986
COL1A1,1841.324,974.3803,0,0.773019
ISLR,1509.745,975.9608,0,0.943708
COL1A1,1693.801,976.0142,15,0.483709
EBF2,1798.31,976.9524,0,0.993641
COL1A2,1553.575,978.5753,14,0.994682
MFAP2,1995.643,976.6905,135,0.992027
