cell_id,x,y
0,9500.809538163616,8843.25275533415
2,1994.1922,605.1365
5,1823.7426666666668,708.5672583333334
6,1752.4308571428571,758.1478714285714
7,1796.994,783.7753749999999
8,1965.924,837.927925
9,1626.8946666666668,856.4127333333332
10,1952.4122352941176,909.6594588235295
13,1644.2366923076925,948.8783153846155
14,1577.04125,970.7693875
15,1738.9963846153846,995.6227615384615
16,1866.7634117647058,1021.0880235294118
17,1947.2592499999998,1039.24935
19,1721.2613333333331,1076.6951666666666
20,1765.8344285714286,1100.8681428571429
21,1957.343904761905,1095.3470952380953
22,1868.3317857142858,1128.6410714285714
23,1817.2260714285715,1121.504642857143
24,1922.4847999999997,1157.9149
25,1869.1365294117647,1191.7579411764705
27,1567.08472,1191.97408
28,1812.94075,1198.284
29,1727.29675,1208.9103
30,1649.9473000000003,1219.99415
31,1766.4925714285714,1237.8529285714285
32,1966.450625,1252.9448125
33,1904.98625,1238.69195
34,1621.6375294117647,1277.6701176470588
35,1749.6970000000001,1315.4144285714285
36,1931.324875,1321.7712083333333
37,1602.25175,1334.3045
38,1811.4720294117647,1364.1016764705882
39,1705.144103448276,1391.4686551724137
40,1764.932388888889,1417.5281111111112
41,1579.2474705882353,1426.705705882353
42,1850.6460555555557,1429.629611111111
43,1702.0102173913044,1460.593391304348
44,1641.7006315789474,1488.634842105263
45,1825.315375,1492.4596875
46,1747.3195,1535.1080909090908
47,1894.3817391304347,1539.7485217391304
48,1848.085,1591.1885000000002
49,1875.1486666666667,1639.1218333333334
50,1944.9480714285714,1706.1833571428572
53,3349.8782352941175,305.22050588235294
54,3668.6678,318.20374000000004
55,3179.0009999999997,316.48726923076924
56,2614.5616999999997,361.27742
57,3618.7642,348.63042
58,3718.0660555555555,396.92071111111113
60,2893.8614000000002,414.81706
61,2962.4861,420.85359
62,3129.3455,393.13477222222224
63,3233.635,393.343575
64,2428.823,467.59436666666664
68,2275.5595,468.03075
69,3798.8467931034484,480.03012413793107
70,2852.8198181818184,487.7191606060606
72,2718.59125,494.23879
73,2647.631608695652,498.1904173913044
74,3711.6027647058827,522.834594117647
75,2569.8025,521.63765
76,2323.030142857143,560.0731857142857
78,3635.3975,530.8469444444444
79,3681.0262000000002,578.87118
80,2590.5406666666663,564.3801333333333
81,2937.7612307692307,536.3487076923077
82,2230.695875,588.8670375
83,2052.6972,567.43992
85,3002.1453333333334,574.9745666666666
86,2822.1538125,607.91929375
87,2743.9324375,598.60948125
88,2342.871181818182,646.0508818181818
89,2268.835727272727,681.9609545454546
90,2028.4006666666667,673.2401333333333
91,2017.76225,739.1835
92,2282.5994285714287,753.9202285714285
94,3086.4,790.0142875
95,2049.2516666666666,806.0744833333333
96,2484.4426666666664,808.8274333333334
97,2186.8984285714287,836.5847714285713
99,2633.4905714285715,832.3358857142857
100,2343.252,833.200675
101,2999.2493043478257,835.154547826087
102,2516.4888333333333,862.7367166666667
103,2403.1405999999997,878.63022
104,2128.458176470588,861.8960705882354
105,2937.4056153846154,869.1850076923076
106,2871.3990625,867.76745
107,3284.782875,870.11836875
108,2684.5708,895.6978499999999
109,2334.4026153846153,916.6916230769231
110,2852.87,910.19025
111,2581.3005,917.3014125
112,2531.5265,915.7874333333334
113,2420.56625,915.8557000000001
114,2928.0125,936.6079375
115,3121.2757804878047,925.0527024390243
116,2115.507111111111,930.0985055555554
117,3318.192916666667,946.4421916666666
118,3381.351333333333,917.58138
119,3006.2842142857144,927.8517428571429
120,2487.062363636364,943.2815909090909
121,2038.2143076923078,947.8554384615384
123,2830.8228571428567,962.0741428571429
124,3205.180488372093,932.6663813953488
125,2253.466615384615,962.4802846153846
126,2382.2199411764705,966.1537764705882
127,2760.8704999999995,962.8937
128,2601.9435454545455,972.8263090909091
129,2117.943,993.597185
130,3505.2426896551724,969.6023413793104
131,2326.8597999999997,994.2714266666667
132,3418.5890666666664,966.9818533333333
134,3065.3838,974.3795633333334
135,2001.54916,992.2246919999999
136,2698.1162,975.31994
137,2995.6188095238094,997.2990809523809
138,2902.5308571428573,999.0326000000001
139,3423.4255,1021.4998375
140,2453.2343157894734,992.3451157894737
141,2549.3737499999997,1000.04255
142,2835.4252,1014.8723299999999
143,2758.2557,1026.08552
144,2482.1886153846153,1041.3806153846153
145,3163.0377272727274,1010.1191227272727
146,3471.64125,1026.6803125000001
147,2617.4745,1025.54595
148,2949.932294117647,1047.1033529411766
149,3642.6365454545453,1045.9480303030305
150,2532.073375,1048.2984999999999
151,3356.5743,1020.64096
152,2316.80525,1071.76675
153,3245.430166666667,1038.2484722222223
154,2681.929823529412,1081.4461764705882
155,3519.7901818181817,1065.303484848485
156,2578.0578,1063.9208
158,3178.8098571428573,1081.7504999999999
159,2414.6548695652173,1072.012
160,3061.5366470588233,1053.791705882353
161,3266.5263333333332,1096.1551111111112
162,2260.448931034483,1079.3756551724139
163,3125.9639375,1080.4264375
164,2799.5396666666666,1087.6467222222223
165,3402.1394999999998,1094.0258333333334
166,2515.091,1116.0934166666666
167,3853.8710000000005,1112.5323333333333
168,2599.61516,1120.15316
169,3010.93525,1106.2104166666666
170,2177.926,1114.3073333333334
171,2725.1213333333335,1120.6791666666666
172,2962.7071,1116.1839
173,2855.269888888889,1122.2125555555556
174,2916.526318181818,1093.5541818181819
175,3244.3525,1136.4803571428572
176,3409.6246875,1139.3985625
