,SPC,cNCC,other
SPC,-0.24253562503633297,-0.4264014327112213,0.5070925528371112
cNCC,-0.3831305140884603,3.9619332024334346,-2.4797048554642065
other,-0.6417682495078302,-0.01567400319518177,0.43779372156371715
