gene,spotX,spotY,parent_id,parent_prob
NPPA,3749.048,1967.095,2138,1.0
NPPA,3965.038,1973.076,12479,0.8139410298049853
NPPA,3899.635,1974.75,41579,1.0
NPPA,3718.3,1976.417,2138,1.0
MYBPC3,3743.75,1977.875,2138,1.0
MYBPC3,3726.19,1978.81,2138,1.0
NPPA,3950.603,1978.959,12479,0.1118033988749895
MYOM1,3799.5,1980.0,60563,0.05
NPPA,3892.633,1983.733,41579,0.7071067811865476
MYH6,3728.424,1986.288,2138,1.0
NPPA,3879.97,1987.848,41579,0.1118033988749895
FABP3,3982.156,1990.422,52319,0.7211102550927978
NPPA,3778.897,1991.77,2138,1.0
PAM,3725.849,1994.491,2138,1.0
SORBS2,3904.981,1994.868,41579,0.5315072906367325
SBSPON,5821.091,300.9091,14125,0.25
ITLN1,5831.868,304.2368,14125,0.5700877125495689
SLC39A8,5852.836,306.4262,14125,0.3535533905932738
ITLN1,5833.4,308.4,14125,0.7762087348130012
ITLN1,5827.026,311.9737,14125,0.874642784226795
ITLN1,5969.294,312.9412,47782,0.15
FOXS1,5990.333,316.1111,47782,0.8485281374238569
CRABP2,5847.69,317.1379,14125,0.9192388155425116
ITLN1,5815.725,322.225,14125,1.0
NPPA,5869.659,323.8409,14125,0.3605551275463989
ITLN1,5858.5,326.0,14125,0.8602325267042626
TNNT1,5981.059,328.0,47782,0.282842712474619
ITLN1,5809.389,329.8056,14125,0.6041522986797286
COL1A2,5870.063,331.7188,3753,0.7280109889280518
ITLN1,5834.472,336.3194,14125,1.0
MYH6,5910.745,336.7451,3753,0.05
SBSPON,5867.87,337.7391,3753,1.0
MYRF,5876.0,343.619,3753,1.0
CCDC102B,5820.542,345.7292,3753,1.0
MYRF,5878.525,348.0984,3753,1.0
FBLN5,5835.5,352.5,3753,1.0
LRRN3,5824.097,353.9355,3753,1.0
TBX18,5885.443,356.5443,3753,1.0
EBF2,5831.39,361.6098,3753,1.0
TBX18,5848.4,361.7,3753,1.0
PAM,5846.13,367.5217,3753,1.0
COL1A1,5835.955,376.0455,3753,1.0
ITLN1,5887.022,379.5778,47073,0.854400374531753
ITLN1,5421.667,381.2222,12111,0.1414213562373095
HSPB7,5641.198,381.2099,4055,0.8732124598286489
NPPA,5655.32,383.16,4055,0.6946221994724902
ELN,5912.347,384.3469,47073,0.05
ITLN1,5852.026,386.0789,3753,1.0
ISLR,5894.846,387.5,47073,0.7778174593052023
LDB3,5611.632,391.0882,4055,0.9192388155425116
MYOZ2,5804.333,390.75,3753,0.282842712474619
ISLR,5873.074,391.3148,3753,0.6576473218982952
NPPA,5651.207,393.6552,4055,1.0
NPPA,5657.845,396.2394,4055,1.0
NUSAP1,5819.227,395.4545,3753,0.282842712474619
SORBS2,5382.809,398.3933,12111,0.8276472678623424
NPPA,5603.333,399.8,4055,0.917877987534291
NUSAP1,5888.865,398.2973,47073,0.8485281374238569
LDB3,5884.256,401.4359,47073,0.565685424949238
ITLN1,5401.071,401.7619,12111,1.0
ITLN1,5394.982,405.4107,12111,1.0
MYH6,5978.208,405.1509,2006,0.9192388155425116
COL1A1,5367.788,406.6061,12111,0.9013878188659972
MFAP2,5409.127,407.6901,12111,1.0
PAM,5948.605,407.6053,2006,0.7071067811865476
MYRF,5401.61,407.9756,12111,1.0
NPPA,5883.283,408.6739,47073,0.25
MYH6,5983.419,408.8387,2006,0.95524865872714
NPPA,5649.097,409.8387,4055,1.0
MYRF,5399.563,411.625,12111,1.0
NPPA,5683.493,411.7826,4055,0.7433034373659253
NPPA,5623.34,413.9362,4055,1.0
LDB3,5642.645,414.6344,4055,1.0
COL1A1,5415.2,414.6,12111,0.7071067811865476
NPPA,5601.686,415.4571,4055,0.917877987534291
TRIL,5426.185,416.1852,12111,0.282842712474619
MYBPC3,5962.792,417.875,2006,1.0
CLU,5390.4,419.8,12111,1.0
PAM,5608.212,417.8788,4055,1.0
LDB3,5668.417,420.625,4055,1.0
NPPA,5588.849,421.4409,4055,0.206155281280883
NPPA,5692.688,419.9063,4055,0.2
PAM,5890.839,421.4839,26865,0.1
NPPA,5966.891,420.3261,2006,1.0
NPPA,5634.235,422.1029,4055,1.0
NPPA,5652.56,422.4,4055,1.0
NPPA,5605.903,423.6111,4055,0.7433034373659253
NPPA,5935.377,422.9836,2006,0.7071067811865476
MYL3,5532.294,423.7059,33869,0.5315072906367325
NPPA,5647.241,424.069,4055,1.0
NPPA,5674.535,423.4884,4055,0.8485281374238569
NPPA,5692.9,424.55,4055,0.1118033988749895
NPPA,5945.296,426.5062,2006,1.0
MYH6,5986.48,424.8,2006,1.0
NPPA,5500.017,426.1034,7190,0.6726812023536854
PAM,5627.1,426.1833,4055,1.0
PAM,5950.467,426.4667,2006,1.0
NPPA,5620.383,426.4255,4055,1.0
MYH6,5977.537,426.9756,2006,1.0
ITLN1,5389.611,427.9444,12111,0.95524865872714
MYH6,5989.526,427.8947,2006,1.0
NPPA,5600.466,429.4247,4055,0.3535533905932738
TNNI1,5907.361,428.8889,26865,0.85
NPPA,5501.868,431.2264,7190,0.7778174593052023
NPPA,5654.317,430.2927,4055,1.0
HSPB7,5538.68,432.44,33869,0.8139410298049853
PAM,5381.792,434.7547,12111,1.0
PAM,5494.167,432.5556,7190,1.0
SLC39A8,5928.308,434.0769,2006,0.9192388155425116
PAM,5494.067,435.2,7190,1.0
TBX18,5353.286,437.6,12111,1.0
NPPA,5874.667,438.4444,26865,0.0707106781186547
MYBPC3,5979.778,436.5833,2006,1.0
COL1A1,5347.0,438.9,12111,1.0
LDB3,5745.549,439.122,20227,1.0
NPPA,5956.658,439.4474,2006,1.0
MYL3,5632.697,441.5455,4055,0.70178344238091
SLC8A1,5389.81,442.6905,12111,0.5099019513592784
NPPA,5616.156,441.8444,4055,0.4301162633521313
NPPA,5759.808,441.6154,20227,0.8139410298049853
MYH6,5894.214,442.2143,26865,0.8845903006477066
ITLN1,5341.88,442.88,12111,1.0
PAM,5733.292,443.646,20227,0.8015609770940699
NPPA,5915.609,443.8696,26865,1.0
NPPA,5984.814,444.2558,2006,1.0
NPPA,5472.227,445.803,7190,0.9899494936611666
NPPA,5814.088,445.6765,12204,0.5315072906367325
NPPA,5557.625,445.6786,33869,0.4031128874149274
MYH6,5901.195,448.0732,26865,1.0
ITLN1,5346.038,448.9038,12111,1.0
NPPA,5761.583,447.1667,20227,0.8062257748298549
NPPA,5610.101,447.5942,4055,0.05
MYBPC3,5956.367,447.2,2006,1.0
MFAP2,5369.776,448.8367,12111,1.0
SLC8A1,5717.842,449.4211,20227,0.25
LDB3,5779.735,449.4706,12204,0.2549509756796392
PAM,5622.975,450.175,4055,0.223606797749979
SLC8A1,5986.656,449.9375,2006,1.0
ELN,5329.707,451.1034,12111,0.4949747468305833
NPPA,5559.5,450.5,33869,0.25
NPPA,5629.887,451.9677,4055,0.223606797749979
NPPA,5616.4,452.0833,4055,0.05
NPPA,5728.77,452.4865,20227,0.75
NPPA,5958.435,453.4348,2006,1.0
MYL3,5762.5,453.75,20227,1.0
ELN,5366.359,455.6154,12111,1.0
MYH6,5503.448,455.8103,7190,1.0
MYH6,5520.75,455.2333,33869,1.0
HSPB7,5941.875,455.0833,2006,1.0
COL1A2,5358.776,456.5918,12111,1.0
NPPA,5713.176,457.3529,20227,0.3535533905932738
TNNI1,5795.974,456.1447,12204,0.9192388155425116
PAM,5991.25,457.375,2006,1.0
MYH6,5505.762,458.9524,7190,1.0
MYL3,5436.095,459.4286,7190,0.05
NPPA,5984.015,459.2647,2006,1.0
NPPA,5450.133,459.8111,7190,0.565685424949238
TBX5,5916.451,460.5882,26865,0.5700877125495689
MYBPC3,5809.07,461.7442,12204,1.0
NPPA,5876.791,459.9535,26865,0.1414213562373095
LDB3,5690.983,463.1,19763,0.1118033988749895
NPPA,5972.5,462.8158,2006,1.0
NPPA,5990.471,463.3725,2006,1.0
LDB3,5685.029,464.2353,19763,0.3535533905932738
PAM,5787.128,464.1282,12204,1.0
NPPA,5660.25,465.2344,19763,0.3905124837953327
TNNI1,5703.306,465.1667,20227,0.05
NPPA,5818.814,466.2791,12204,1.0
NPPA,5689.48,469.4,19763,0.3905124837953327
NPPA,5731.031,467.1077,20227,0.95524865872714
NPPA,5902.24,466.96,26865,0.7778174593052023
NPPA,5507.69,468.4648,7190,1.0
NPPA,5653.048,469.4762,19763,0.282842712474619
LDB3,5668.1,468.1,19763,0.7810249675906654
MYL3,5773.842,469.3158,12204,1.0
NPPA,5909.538,469.2885,26865,0.4242640687119284
NPPA,5951.547,469.6512,2006,1.0
