cell_id,x,y
1,9743.44036,8784.466480000001
2,9638.563892857142,8660.437607142858
3,8956.490460526316,2200.997447368421
4,8919.407547945206,2340.356712328767
5,8623.441095238095,13985.615238095237
6,8664.58665625,13815.6834375
7,3547.1049014084506,2697.000929577465
8,7337.039555555555,7179.8306111111115
9,6702.8466,10270.219538461539
10,11767.045333333333,4866.348199999999
11,9888.354736842104,9560.842210526316
12,7234.341545454546,7191.804863636364
13,12652.686153846154,5934.953153846154
14,10123.093035714284,7331.401678571428
15,9425.118423076923,13059.950769230769
16,3461.9204999999997,2658.618857142857
17,10892.282000000001,5360.3008
18,13116.406551724138,5818.307517241379
19,14943.538958333333,10552.56625
20,3419.9295714285713,16031.843571428572
21,5911.392625,4900.362041666666
22,9316.7011,13067.813
23,15622.910980392156,4920.731254901961
24,9087.150239999999,9751.615
25,11116.65393442623,7058.988229508197
26,10186.63875,7161.91915625
27,4254.926069767442,8130.509604651163
28,7433.021250000001,7232.880249999999
29,10822.134736842105,9246.007315789473
30,13003.609999999999,5857.932
31,6805.082926829269,9981.567
32,6884.755363636365,6451.297909090909
33,12755.20411764706,5845.268294117647
34,12774.486,5906.7998
35,13078.711379310345,5722.675862068966
36,10925.095555555556,9191.552333333333
37,10960.883333333333,5434.340916666667
38,6964.489545454545,6439.526727272727
39,16264.103829787235,5841.3205744680845
40,9580.819599999999,13274.380000000001
41,14899.42,10923.73925925926
42,9881.830083333332,8845.810416666667
43,11199.725,10640.883
44,11236.738076923077,7047.493307692308
45,10622.412,5367.394933333333
46,9498.03041818182,8590.641054545455
47,9945.724466666667,8979.124
48,6715.446249999999,9954.73195
49,9633.587210526317,14331.065263157894
50,8135.129291666667,8146.635249999999
51,12783.402173913044,5406.683043478261
52,11115.814444444444,10692.46111111111
53,9030.304736842105,9866.497105263159
54,10765.203636363636,17483.55181818182
55,9953.212125,7398.101791666667
56,5985.199153846153,4534.166846153847
57,7455.889,8507.859828571429
58,11176.95,7066.658
59,5384.483217391305,3929.4781304347825
60,9587.742105263158,9283.937289473684
61,9459.658379310345,2092.469896551724
62,12154.149545454544,6135.864181818181
