parent_id,cell_type,cNCC_score,SPC_score
14,other,0.0,0.0
17,other,0.0,0.0
21,other,0.0,0.0
27,other,0.0,0.0
29,other,0.0,0.0
30,other,0.0,0.0
35,other,0.0,0.0
36,other,0.0,0.0
38,other,0.0,0.0
39,other,0.0,0.0
43,other,0.0,0.0
46,other,0.0,0.0
47,other,0.0,0.0
69,other,0.0,0.0
70,other,0.0,0.0
72,other,0.0,0.0
73,other,0.0,0.0
101,other,0.0,0.0
107,other,0.0,0.0
108,SPC,0.0,6.2166061010848646
115,other,0.0,0.0
124,other,0.0,0.0
129,other,0.0,0.0
130,other,0.0,0.0
134,cNCC,2.906069249646913,0.0
135,other,0.0,0.0
137,other,0.0,0.0
138,SPC,0.0,5.88093194910298
145,other,0.0,0.0
149,other,0.0,0.0
155,other,0.0,0.0
159,other,0.0,0.0
162,SPC,0.0,5.845940345101734
165,other,0.0,0.0
168,other,0.0,0.0
174,other,0.0,0.0
177,other,0.0,0.0
178,other,0.0,0.0
182,other,0.0,0.0
184,other,0.0,0.0
186,other,0.0,0.0
187,other,0.0,0.0
190,other,0.0,0.0
192,other,0.0,0.0
195,other,0.0,0.0
199,other,0.0,0.0
201,other,0.0,0.0
203,other,0.0,0.0
206,other,0.0,0.0
208,other,0.0,0.0
213,other,0.0,0.0
214,other,0.0,0.0
227,other,0.0,0.0
228,other,0.0,0.0
231,other,0.0,0.0
232,other,0.0,0.0
237,other,0.0,0.0
238,other,0.0,0.0
239,other,0.0,0.0
241,other,0.0,0.0
243,other,0.0,0.0
254,other,0.0,0.0
255,other,0.0,0.0
256,other,0.0,0.0
259,other,0.0,0.0
260,other,0.0,0.0
262,cNCC,2.7882735052442467,0.0
266,other,0.0,0.0
268,other,0.0,0.0
269,other,0.0,0.0
270,other,0.0,0.0
271,other,0.0,0.0
272,other,0.0,0.0
276,other,0.0,0.0
280,other,0.0,0.0
281,other,0.0,0.0
282,other,0.0,0.0
283,other,0.0,0.0
284,other,0.0,0.0
285,SPC,0.0,5.812138499293826
287,other,0.0,0.0
289,other,0.0,0.0
293,other,0.0,0.0
294,cNCC,3.017341833113979,0.0
295,other,0.0,0.0
296,other,0.0,0.0
297,other,0.0,0.0
298,other,0.0,0.0
300,other,0.0,0.0
302,other,0.0,0.0
304,other,0.0,0.0
305,other,0.0,0.0
307,other,0.0,0.0
308,other,0.0,0.0
311,other,0.0,0.0
318,other,0.0,0.0
321,other,0.0,0.0
326,other,0.0,0.0
328,other,0.0,0.0
331,other,0.0,0.0
332,other,0.0,0.0
333,other,0.0,0.0
