,SPC,cNCC,other
SPC,0.4449346703834738,0.7858042612779949,1.005156006181336
cNCC,0.7858042612779949,5.127301264859542,0.9886931590389836
other,1.005156006181336,0.9886931590389836,0.9999968676009966
