,SPC,cNCC,other
SPC,0.4145780987944255,7.276258222411758,-5.020244173036988
cNCC,8.376884531677934,7.753683448874402,-10.991031388643428
other,-2.0104495112066396,-2.224554108786407,3.242720290971708
