parent_id,ALDH1A1,COL1A1,COL3A1,CPE,CRABP2,EBF2,ELN,FABP3,FAM210B,HSPB7,ISL1,ISLR,LDB3,LRRN3,MFAP2,MT1F,MT2A,MYBPC3,MYH6,MYH7,MYL2,MYL3,MYOM1,MYOZ2,MYRF,NPPA,NUSAP1,PAM,PTN,RSPO3,SBSPON,SLC39A8,SLC8A1,SORBS2,STMN2,TBX18,TBX5,TCF21,TNNI1,TNNT1,TOP2A,TPM1
1,0.0,0.0,5.408167787478715,0.0,0.0,0.0,4.719490443017389,0.0,5.812138499293826,0.0,0.0,0.0,4.719490443017389,0.0,0.0,6.321766996021397,0.0,7.0140153898827995,7.196187070324464,0.0,0.0,6.099072535306288,4.719490443017389,4.719490443017389,0.0,7.929766461729666,0.0,7.196187070324464,0.0,0.0,0.0,6.791096610987463,0.0,4.719490443017389,0.0,0.0,5.408167787478715,0.0,5.408167787478715,0.0,0.0,0.0
9,0.0,5.453431037699777,6.836509040003777,5.453431037699777,0.0,0.0,5.453431037699777,0.0,0.0,0.0,0.0,6.1444351289000245,0.0,0.0,7.646842497297157,6.836509040003777,6.1444351289000245,0.0,0.0,0.0,0.0,0.0,5.453431037699777,0.0,6.1444351289000245,0.0,6.1444351289000245,5.453431037699777,6.836509040003777,6.1444351289000245,0.0,0.0,0.0,0.0,0.0,0.0,7.059437799128602,0.0,0.0,0.0,5.453431037699777,5.453431037699777
11,0.0,7.0909098220799835,7.0909098220799835,0.0,6.68586094706836,0.0,0.0,0.0,0.0,0.0,0.0,5.993961427306569,0.0,0.0,7.601402334583733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993961427306569,0.0,6.68586094706836,5.993961427306569,5.993961427306569,7.0909098220799835,0.0,0.0,0.0,5.993961427306569,0.0,0.0,5.993961427306569,0.0,5.993961427306569,0.0,0.0,0.0
13,0.0,0.0,7.174224817643044,0.0,6.077143515095717,6.077143515095717,0.0,0.0,0.0,0.0,6.077143515095717,6.077143515095717,0.0,0.0,6.7691426758635,0.0,0.0,6.077143515095717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.27232625629005,0.0,0.0,6.077143515095717,6.077143515095717,0.0,0.0,0.0,0.0,0.0,0.0,6.077143515095717,6.077143515095717,0.0
20,0.0,5.5008599231751285,6.19196338744912,0.0,0.0,0.0,0.0,0.0,6.19196338744912,0.0,0.0,0.0,0.0,0.0,7.799763314238887,5.5008599231751285,0.0,0.0,5.5008599231751285,0.0,0.0,0.0,0.0,0.0,5.5008599231751285,5.5008599231751285,6.19196338744912,0.0,7.895036235897418,6.19196338744912,0.0,0.0,0.0,6.596746327567768,0.0,0.0,6.19196338744912,5.5008599231751285,0.0,0.0,5.5008599231751285,0.0
51,0.0,7.0909098220799835,7.0909098220799835,0.0,5.993961427306569,5.993961427306569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0909098220799835,0.0,5.993961427306569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68586094706836,0.0,0.0,0.0,6.68586094706836,6.68586094706836,0.0,5.993961427306569,0.0,0.0,0.0,6.68586094706836,0.0,7.3783837129967145,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.717127377459133,0.0,0.0,0.0,5.717127377459133,0.0,0.0,0.0,0.0,5.717127377459133,7.100951831504149,0.0,0.0,0.0,5.717127377459133,0.0,0.0,8.422102987415462,0.0,7.660214277048907,0.0,0.0,0.0,5.717127377459133,5.717127377459133,0.0,0.0,0.0,0.0,0.0,5.717127377459133,0.0,0.0,0.0
112,0.0,6.121495502161354,5.430541086359215,5.430541086359215,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430541086359215,6.526228618887641,0.0,0.0,0.0,5.430541086359215,0.0,0.0,0.0,0.0,0.0,7.729175734280353,0.0,5.430541086359215,0.0,0.0,0.0,6.526228618887641,5.430541086359215,0.0,0.0,0.0,8.065522304010056,0.0,5.430541086359215,5.430541086359215,5.430541086359215,5.430541086359215,0.0
119,0.0,0.0,0.0,5.012325407338457,0.0,0.0,0.0,0.0,0.0,5.702139334395552,0.0,0.0,5.702139334395552,0.0,0.0,5.012325407338457,5.702139334395552,7.308902621229466,7.308902621229466,0.0,0.0,6.1064908844046855,5.012325407338457,5.012325407338457,0.0,8.183980710640066,0.0,6.393615712457116,0.0,0.0,0.0,0.0,0.0,5.012325407338457,0.0,0.0,0.0,0.0,6.393615712457116,0.0,5.012325407338457,0.0
124,0.0,5.05783689558055,5.05783689558055,0.0,5.05783689558055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.152200638293575,5.05783689558055,5.7477993600729755,0.0,0.0,7.1316985104669115,6.844282856026563,0.0,0.0,6.439350371100098,0.0,0.0,0.0,7.53689712956617,0.0,7.249392724344136,0.0,0.0,5.05783689558055,0.0,0.0,5.05783689558055,0.0,7.249392724344136,5.7477993600729755,0.0,5.7477993600729755,5.05783689558055,0.0,0.0
127,0.0,5.687374080428037,5.687374080428037,6.783724827624065,5.687374080428037,5.687374080428037,5.687374080428037,0.0,0.0,0.0,0.0,0.0,0.0,5.687374080428037,6.378825584555548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.294097528698879,0.0,0.0,0.0,0.0,5.687374080428037,5.687374080428037,0.0,0.0,0.0,0.0,8.169169790350047,6.378825584555548,0.0,5.687374080428037,5.687374080428037,0.0,0.0
152,0.0,0.0,0.0,0.0,5.954840459801967,0.0,0.0,0.0,5.954840459801967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.954840459801967,5.954840459801967,6.646690170246266,0.0,0.0,6.646690170246266,0.0,6.646690170246266,0.0,7.562201611235652,0.0,8.032010322833477,0.0,0.0,0.0,5.954840459801967,0.0,0.0,0.0,0.0,0.0,0.0,5.954840459801967,0.0,5.954840459801967,0.0
