gene,spotX,spotY,parent_id,parent_prob
MYRF,3242.58,1736.8,4035,0.9
TNNI1,3098.909,1738.303,5630,0.4242640687119284
FAM210B,3095.444,1741.306,5630,0.3905124837953327
CPE,3260.0,1745.267,4035,0.9124143795447328
CRABP2,3269.818,1748.345,4035,0.7071067811865476
MYRF,3135.509,1759.927,5630,1.0
ITLN1,3217.077,1764.718,4035,1.0
CPE,3034.512,1764.875,4595,0.4609772228646444
TBX18,3055.41,1767.487,4595,1.0
MYRF,3178.258,1768.548,4446,1.0
COL3A1,3030.216,1770.189,4595,0.4609772228646444
SLC39A8,3110.735,1771.824,11991,1.0
CRABP2,3054.897,1775.103,4595,1.0
TBX18,3164.826,1775.5,4446,1.0
MYH6,3203.65,1776.95,4243,1.0
MYH6,3200.565,1778.522,4243,1.0
SLC39A8,3266.824,1777.691,4035,0.7071067811865476
NPPA,3078.442,1781.096,2099,1.0
PAM,3181.755,1781.531,4243,1.0
MYH6,3075.326,1788.326,2099,1.0
MYH6,3181.526,1788.632,4243,0.8732124598286489
NPPA,3027.207,1794.0,4595,1.0
ELN,3035.107,1799.0,4595,1.0
MYH6,3118.349,1801.465,2099,0.6082762530298219
PAM,3053.93,1807.651,4595,0.9617692030835672
HSPB7,3022.615,1807.769,4595,0.7071067811865476
MYL3,3341.061,1808.424,4375,0.9
NPPA,3011.562,1808.517,4595,0.282842712474619
MYL3,3074.077,1810.115,2099,1.0
SLC8A1,3044.68,1812.36,4595,0.65
NPPA,3325.589,1813.107,4375,0.7071067811865476
NPPA,3068.119,1815.071,2099,1.0
PAM,3350.824,1816.608,4375,1.0
LDB3,3112.65,1817.25,2099,0.9604686356149272
PAM,3326.586,1821.69,4375,1.0
NPPA,3079.92,1822.82,2099,1.0
NPPA,3097.78,1822.136,2099,1.0
MYBPC3,3346.795,1823.182,4375,1.0
FABP3,3374.113,1827.906,4375,0.45
MYH6,3108.387,1829.0,2099,0.7433034373659253
MYBPC3,3338.5,1832.0,4375,1.0
PAM,3093.333,1833.238,2099,0.95
MYL3,3366.32,1834.44,4375,0.8631338250816034
MYH6,3354.713,1836.862,4375,1.0
MT1F,3106.844,1838.594,2099,0.4242640687119284
NPPA,3077.712,1841.53,2099,0.447213595499958
MYL3,3368.333,1841.979,4375,0.5315072906367325
MT2A,2980.64,1843.04,8311,0.2121320343559642
NPPA,3338.548,1845.945,4375,1.0
NPPA,3139.19,1847.009,1173,0.206155281280883
NPPA,2956.222,1848.741,8311,0.65
HSPB7,3321.146,1854.366,4375,0.8845903006477066
NPPA,3362.757,1855.257,4375,0.25
MYH6,3336.769,1856.769,4375,0.7778174593052023
MYBPC3,2973.156,1858.406,8311,1.0
FAM210B,2995.897,1861.487,8311,0.05
MYBPC3,2969.178,1862.156,8311,1.0
FAM210B,3050.844,1869.556,1275,0.1
MYH6,3121.489,1869.085,1173,0.3905124837953327
MT2A,2953.05,1873.75,9532,1.0
LDB3,2964.889,1876.429,9532,0.618465843842649
MYH6,2977.711,1877.447,8311,0.282842712474619
NPPA,2939.175,1879.524,12592,0.9013878188659972
MYH6,2965.731,1881.538,12592,0.3162277660168379
MYH6,3158.588,1880.059,1173,1.0
NUSAP1,3130.046,1880.769,1173,1.0
NPPA,3022.557,1881.541,1275,0.447213595499958
NPPA,3585.596,1882.83,2498,0.4031128874149274
NPPA,3059.833,1884.788,1275,0.3905124837953327
NPPA,3662.82,1884.56,4153,0.9656603957913984
NPPA,3125.143,1885.5,1173,1.0
NPPA,3328.554,1885.807,1767,0.0707106781186547
PAM,2941.5,1885.9,12592,1.0
NPPA,3606.685,1888.151,1657,0.1581138830084189
MYH6,3616.756,1889.951,4153,0.3201562118716424
TNNT1,3671.919,1888.081,4153,0.9013878188659972
MYH6,3557.771,1890.486,2498,0.1414213562373095
COL3A1,3675.038,1892.577,4153,1.0
CPE,3700.969,1892.892,4153,0.1414213562373095
PAM,3591.963,1894.0,2498,0.7071067811865476
PAM,2934.719,1894.906,2739,1.0
TNNI1,3199.829,1895.286,2740,0.9192388155425116
SLC39A8,2952.146,1896.683,2739,0.6324555320336759
MYBPC3,3348.0,1897.828,1767,0.8
MYH6,3618.269,1896.865,4153,0.6264982043070834
NPPA,3352.385,1899.077,1767,0.8139410298049853
MT2A,2889.481,1899.769,2739,0.3535533905932738
MYH6,3163.13,1900.241,1173,1.0
SLC8A1,3193.66,1901.2,2740,1.0
PAM,3544.6,1900.56,2498,0.0707106781186547
NPPA,3580.625,1901.708,2498,1.0
TNNI1,3027.067,1902.311,1275,1.0
MYH6,3356.015,1902.507,1767,0.8139410298049853
MYL3,3655.64,1905.36,4153,1.0
PAM,3660.762,1903.143,4153,1.0
NPPA,3548.902,1903.878,2498,0.3201562118716424
MYH6,3608.75,1903.042,1657,0.8514693182963201
TBX5,3039.318,1904.773,1275,1.0
PAM,3573.444,1906.333,2498,1.0
