parent_id,ALDH1A1,CCDC102B,CDK1,CLU,COL1A1,COL1A2,COL3A1,COL9A2,CPE,CRABP2,EBF2,EFNA5,ELN,FABP3,FAM210B,FAM46C,FBLN5,FOXS1,HSPB7,ISL1,ISLR,ITLN1,LDB3,LRRN3,LUM,MFAP2,MT1F,MT2A,MYBPC3,MYH6,MYH7,MYL2,MYL3,MYOM1,MYOZ2,MYRF,NAV1,NOV,NPPA,NUSAP1,OGN,PAM,PCSK1N,PTN,RSPO3,SBSPON,SLC39A8,SLC8A1,SORBS2,STMN2,TBX18,TBX5,TCF21,TCIM,TMEM100,TNNI1,TNNT1,TOP2A,TPM1,TRIL
1524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7477993600729755,0.0,0.0,0.0,0.0,6.844282856026563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.229777750081887,0.0,0.0,6.439350371100098,5.7477993600729755,0.0,0.0,0.0,0.0,7.53689712956617,0.0,0.0,7.354682176897896,0.0,0.0,0.0,0.0,0.0,5.7477993600729755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7477993600729755,0.0
1526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.167915732334905,0.0,0.0,0.0,0.0,0.0,6.860014563948276,7.775675758511548,0.0,0.0,6.860014563948276,0.0,6.860014563948276,0.0,0.0,0.0,6.167915732334905,0.0,0.0,7.957927342245102,0.0,0.0,0.0,0.0,6.860014563948276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4881336174935935,7.670361888840676,0.0,0.0,6.572682063274631,0.0,0.0,5.88093194910298,0.0,0.0,6.977681048517689,0.0,0.0,7.957927342245102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.572682063274631,0.0,0.0,0.0,0.0,0.0,0.0,5.88093194910298,0.0
1530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.779448372398339,0.0,0.0,0.0,0.0,5.779448372398339,0.0,0.0,0.0,0.0,5.779448372398339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.779448372398339,7.568629169959492,0.0,0.0,6.875998255971096,0.0,0.0,0.0,0.0,0.0,7.1634222284534985,0.0,0.0,7.568629169959492,0.0,0.0,0.0,0.0,5.779448372398339,0.0,5.779448372398339,0.0,0.0,7.1634222284534985,0.0,0.0,0.0,6.471049148040832,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68586094706836,0.0,0.0,0.0,0.0,0.0,7.0909098220799835,6.68586094706836,0.0,0.0,5.993961427306569,0.0,0.0,0.0,0.0,0.0,7.783640596221253,0.0,0.0,7.783640596221253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3783837129967145,0.0,0.0,0.0,5.993961427306569,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.526228618887641,0.0,0.0,0.0,0.0,0.0,5.430541086359215,8.370821269361466,0.0,0.0,6.526228618887641,0.0,0.0,0.0,0.0,0.0,6.121495502161354,5.430541086359215,0.0,7.37268926107353,0.0,5.430541086359215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.526228618887641,0.0,0.0,0.0,5.430541086359215,0.0,0.0,5.430541086359215,0.0
1535,0.0,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.813544494621113,7.911423987306794,0.0,0.0,7.218643271861805,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.911423987306794,0.0,0.0,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.572682063274631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88093194910298,6.572682063274631,0.0,0.0,5.88093194910298,0.0,5.88093194910298,0.0,0.0,0.0,7.670361888840676,0.0,0.0,8.517393171418904,0.0,0.0,0.0,0.0,0.0,0.0,5.88093194910298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.476861958311282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.957927342245102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.87094777179899,0.0,0.0,8.037943135899317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.572682063274631,0.0,0.0,0.0,5.476861958311282,0.0,0.0,5.476861958311282,0.0
1547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.717127377459133,0.0,0.0,0.0,5.717127377459133,0.0,0.0,0.0,5.717127377459133,0.0,6.408628631315172,7.793686767134803,0.0,0.0,5.717127377459133,0.0,5.717127377459133,0.0,5.717127377459133,0.0,7.323930505239588,0.0,0.0,7.911423987306794,0.0,0.0,0.0,0.0,5.717127377459133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.408628631315172,0.0
