parent_id,cell_type,cNCC_score,SPC_score
1,other,0.0,0.0
2,other,0.0,0.0
3,other,0.0,0.0
4,other,0.0,0.0
5,other,0.0,0.0
6,other,0.0,0.0
7,other,0.0,0.0
9,SPC,2.586486460304965,5.17297292060993
11,other,0.0,0.0
14,other,0.0,0.0
15,other,0.0,0.0
16,other,0.0,0.0
18,other,0.0,0.0
19,other,0.0,0.0
21,other,0.0,0.0
23,other,0.0,0.0
24,other,0.0,0.0
25,other,0.0,0.0
26,other,0.0,0.0
27,other,0.0,0.0
30,other,0.0,0.0
31,other,0.0,0.0
35,other,0.0,0.0
36,other,0.0,0.0
39,other,0.0,0.0
41,other,0.0,0.0
44,other,0.0,0.0
46,other,0.0,0.0
50,other,0.0,0.0
51,other,0.0,0.0
54,other,0.0,0.0
55,other,0.0,0.0
57,other,0.0,0.0
60,other,0.0,0.0
61,other,0.0,0.0
62,other,0.0,0.0
63,other,0.0,0.0
65,other,0.0,0.0
66,other,0.0,0.0
67,other,0.0,0.0
69,other,0.0,0.0
70,other,0.0,0.0
71,other,0.0,0.0
73,cNCC,3.34293047353418,0.0
74,other,0.0,0.0
77,other,0.0,0.0
80,other,0.0,0.0
81,other,0.0,0.0
84,other,0.0,0.0
85,other,0.0,0.0
91,other,0.0,0.0
92,other,0.0,0.0
96,other,0.0,0.0
97,other,0.0,0.0
101,other,0.0,0.0
102,other,0.0,0.0
103,other,0.0,0.0
104,other,0.0,0.0
106,other,0.0,0.0
107,other,0.0,0.0
109,other,0.0,0.0
110,other,0.0,0.0
111,other,0.0,0.0
114,other,0.0,0.0
118,other,0.0,0.0
120,other,0.0,0.0
121,other,0.0,0.0
122,other,0.0,0.0
125,other,0.0,0.0
135,SPC,0.0,5.264283180082056
136,SPC,0.0,5.993961427306569
138,other,0.0,0.0
141,other,0.0,0.0
142,other,0.0,0.0
143,other,0.0,0.0
148,other,0.0,0.0
149,other,0.0,0.0
155,other,0.0,0.0
160,other,0.0,0.0
162,other,0.0,0.0
165,other,0.0,0.0
167,other,0.0,0.0
168,other,0.0,0.0
169,other,0.0,0.0
171,other,0.0,0.0
172,other,0.0,0.0
173,other,0.0,0.0
175,other,0.0,0.0
177,other,0.0,0.0
182,other,0.0,0.0
187,other,0.0,0.0
189,other,0.0,0.0
190,other,0.0,0.0
191,other,0.0,0.0
193,other,0.0,0.0
195,other,0.0,0.0
198,other,0.0,0.0
199,other,0.0,0.0
200,other,0.0,0.0
205,other,0.0,0.0
209,other,0.0,0.0
213,other,0.0,0.0
215,other,0.0,0.0
219,other,0.0,0.0
221,other,0.0,0.0
226,other,0.0,0.0
227,other,0.0,0.0
228,other,0.0,0.0
229,other,0.0,0.0
235,other,0.0,0.0
240,other,0.0,0.0
242,other,0.0,0.0
246,other,0.0,0.0
248,other,0.0,0.0
257,other,0.0,0.0
262,other,0.0,0.0
263,other,0.0,0.0
264,other,0.0,0.0
271,other,0.0,0.0
272,other,0.0,0.0
277,other,0.0,0.0
280,other,0.0,0.0
285,other,0.0,0.0
288,other,0.0,0.0
291,other,0.0,0.0
293,other,0.0,0.0
303,other,0.0,0.0
305,other,0.0,0.0
308,other,0.0,0.0
309,other,0.0,0.0
313,other,0.0,0.0
316,other,0.0,0.0
317,other,0.0,0.0
321,other,0.0,0.0
324,other,0.0,0.0
325,other,0.0,0.0
326,other,0.0,0.0
327,other,0.0,0.0
328,other,0.0,0.0
331,other,0.0,0.0
336,other,0.0,0.0
341,other,0.0,0.0
345,other,0.0,0.0
347,other,0.0,0.0
351,other,0.0,0.0
352,other,0.0,0.0
355,other,0.0,0.0
362,other,0.0,0.0
364,other,0.0,0.0
365,other,0.0,0.0
368,other,0.0,0.0
371,other,0.0,0.0
377,other,0.0,0.0
379,other,0.0,0.0
395,other,0.0,0.0
396,other,0.0,0.0
397,other,0.0,0.0
402,other,0.0,0.0
403,other,0.0,0.0
408,other,0.0,0.0
412,other,0.0,0.0
422,other,0.0,0.0
424,other,0.0,0.0
429,other,0.0,0.0
430,other,0.0,0.0
435,other,0.0,0.0
436,other,0.0,0.0
441,other,0.0,0.0
450,other,0.0,0.0
451,other,0.0,0.0
455,other,0.0,0.0
457,other,0.0,0.0
458,other,0.0,0.0
459,other,0.0,0.0
479,other,0.0,0.0
483,other,0.0,0.0
491,other,0.0,0.0
500,other,0.0,0.0
501,other,0.0,0.0
502,other,0.0,0.0
507,other,0.0,0.0
510,other,0.0,0.0
513,other,0.0,0.0
516,other,0.0,0.0
520,other,0.0,0.0
521,other,0.0,0.0
522,other,0.0,0.0
531,other,0.0,0.0
534,other,0.0,0.0
537,other,0.0,0.0
538,other,0.0,0.0
545,other,0.0,0.0
548,other,0.0,0.0
552,other,0.0,0.0
554,other,0.0,0.0
559,other,0.0,0.0
560,other,0.0,0.0
562,other,0.0,0.0
565,other,0.0,0.0
574,other,0.0,0.0
575,other,0.0,0.0
576,other,0.0,0.0
582,other,0.0,0.0
589,other,0.0,0.0
591,other,0.0,0.0
596,other,0.0,0.0
597,other,0.0,0.0
606,other,0.0,0.0
607,other,0.0,0.0
616,other,0.0,0.0
622,other,0.0,0.0
625,other,0.0,0.0
627,other,0.0,0.0
629,other,0.0,0.0
630,other,0.0,0.0
638,other,0.0,0.0
641,other,0.0,0.0
646,other,0.0,0.0
652,other,0.0,0.0
653,other,0.0,0.0
654,other,0.0,0.0
660,other,0.0,0.0
663,other,0.0,0.0
668,other,0.0,0.0
669,other,0.0,0.0
672,other,0.0,0.0
673,other,0.0,0.0
682,other,0.0,0.0
692,other,0.0,0.0
700,other,0.0,0.0
716,other,0.0,0.0
719,other,0.0,0.0
720,other,0.0,0.0
730,other,0.0,0.0
731,other,0.0,0.0
740,other,0.0,0.0
741,other,0.0,0.0
744,other,0.0,0.0
745,other,0.0,0.0
753,other,0.0,0.0
760,other,0.0,0.0
761,other,0.0,0.0
778,other,0.0,0.0
785,other,0.0,0.0
788,other,0.0,0.0
802,other,0.0,0.0
808,other,0.0,0.0
824,other,0.0,0.0
827,other,0.0,0.0
828,other,0.0,0.0
830,other,0.0,0.0
832,other,0.0,0.0
837,other,0.0,0.0
849,other,0.0,0.0
869,other,0.0,0.0
877,other,0.0,0.0
880,other,0.0,0.0
882,other,0.0,0.0
883,other,0.0,0.0
884,other,0.0,0.0
890,other,0.0,0.0
901,other,0.0,0.0
905,other,0.0,0.0
909,other,0.0,0.0
938,other,0.0,0.0
942,other,0.0,0.0
949,other,0.0,0.0
951,other,0.0,0.0
966,other,0.0,0.0
967,other,0.0,0.0
971,other,0.0,0.0
984,other,0.0,0.0
992,other,0.0,0.0
997,other,0.0,0.0
998,other,0.0,0.0
1000,other,0.0,0.0
1001,other,0.0,0.0
1015,other,0.0,0.0
1020,other,0.0,0.0
1021,other,0.0,0.0
1038,other,0.0,0.0
1052,other,0.0,0.0
1057,other,0.0,0.0
1069,other,0.0,0.0
1085,other,0.0,0.0
1086,other,0.0,0.0
1093,other,0.0,0.0
1099,other,0.0,0.0
1108,other,0.0,0.0
1115,other,0.0,0.0
1117,other,0.0,0.0
1122,other,0.0,0.0
1125,other,0.0,0.0
1137,other,0.0,0.0
1148,other,0.0,0.0
1161,other,0.0,0.0
1178,other,0.0,0.0
1188,other,0.0,0.0
1202,other,0.0,0.0
1203,other,0.0,0.0
1221,other,0.0,0.0
1229,other,0.0,0.0
1235,other,0.0,0.0
1240,other,0.0,0.0
1245,other,0.0,0.0
1255,other,0.0,0.0
1261,other,0.0,0.0
1267,other,0.0,0.0
1277,other,0.0,0.0
1293,other,0.0,0.0
1309,other,0.0,0.0
1346,other,0.0,0.0
1356,other,0.0,0.0
1364,other,0.0,0.0
1366,other,0.0,0.0
1379,other,0.0,0.0
1388,other,0.0,0.0
1395,other,0.0,0.0
1396,other,0.0,0.0
1397,other,0.0,0.0
1403,other,0.0,0.0
1408,other,0.0,0.0
1409,other,0.0,0.0
1425,other,0.0,0.0
1433,other,0.0,0.0
1445,other,0.0,0.0
1456,other,0.0,0.0
1472,other,0.0,0.0
1486,other,0.0,0.0
1495,other,0.0,0.0
1496,other,0.0,0.0
1498,other,0.0,0.0
1556,other,0.0,0.0
1563,other,0.0,0.0
1582,other,0.0,0.0
1591,other,0.0,0.0
1594,other,0.0,0.0
1625,other,0.0,0.0
1634,other,0.0,0.0
1642,other,0.0,0.0
1644,other,0.0,0.0
1652,other,0.0,0.0
1670,other,0.0,0.0
1673,other,0.0,0.0
1682,other,0.0,0.0
1729,other,0.0,0.0
1739,other,0.0,0.0
1741,other,0.0,0.0
1742,other,0.0,0.0
1752,other,0.0,0.0
1782,other,0.0,0.0
1792,other,0.0,0.0
1818,other,0.0,0.0
1821,other,0.0,0.0
1828,other,0.0,0.0
1831,other,0.0,0.0
1848,other,0.0,0.0
1859,other,0.0,0.0
1911,other,0.0,0.0
1959,other,0.0,0.0
1963,other,0.0,0.0
1976,other,0.0,0.0
1999,other,0.0,0.0
2006,other,0.0,0.0
2023,other,0.0,0.0
2024,other,0.0,0.0
2034,other,0.0,0.0
2087,other,0.0,0.0
2088,other,0.0,0.0
2089,other,0.0,0.0
2112,other,0.0,0.0
2125,other,0.0,0.0
2138,other,0.0,0.0
2152,other,0.0,0.0
2163,other,0.0,0.0
2187,other,0.0,0.0
2210,other,0.0,0.0
2215,other,0.0,0.0
2230,other,0.0,0.0
2244,other,0.0,0.0
2253,other,0.0,0.0
2274,other,0.0,0.0
2280,other,0.0,0.0
2328,other,0.0,0.0
2334,other,0.0,0.0
2336,other,0.0,0.0
2371,other,0.0,0.0
2426,other,0.0,0.0
2452,other,0.0,0.0
2453,other,0.0,0.0
2471,other,0.0,0.0
2473,other,0.0,0.0
2485,other,0.0,0.0
2519,other,0.0,0.0
2521,other,0.0,0.0
2545,other,0.0,0.0
2555,other,0.0,0.0
2584,other,0.0,0.0
2610,other,0.0,0.0
2611,other,0.0,0.0
2686,other,0.0,0.0
2687,other,0.0,0.0
2689,other,0.0,0.0
2703,other,0.0,0.0
2747,other,0.0,0.0
2749,other,0.0,0.0
2801,other,0.0,0.0
2802,other,0.0,0.0
2803,other,0.0,0.0
2809,other,0.0,0.0
2818,other,0.0,0.0
2827,other,0.0,0.0
2840,other,0.0,0.0
2843,other,0.0,0.0
2881,other,0.0,0.0
2886,other,0.0,0.0
3009,other,0.0,0.0
3011,other,0.0,0.0
3013,other,0.0,0.0
3045,cNCC,4.087265109383971,0.0
3070,other,0.0,0.0
3101,other,0.0,0.0
3104,other,0.0,0.0
3116,other,0.0,0.0
3126,other,0.0,0.0
3127,cNCC,7.553226815107459,0.0
3152,other,0.0,0.0
3219,other,0.0,0.0
3254,other,0.0,0.0
3358,other,0.0,0.0
3387,other,0.0,0.0
3394,other,0.0,0.0
