parent_id,cell_type,cNCC_score,SPC_score
3410,other,0.0,0.0
3415,other,0.0,0.0
3432,other,0.0,0.0
3468,other,0.0,0.0
3524,other,0.0,0.0
3534,other,0.0,0.0
3579,other,0.0,0.0
3594,other,0.0,0.0
3634,other,0.0,0.0
3638,other,0.0,0.0
3695,other,0.0,0.0
3699,other,0.0,0.0
3715,other,0.0,0.0
3727,other,0.0,0.0
3728,other,0.0,0.0
3729,other,0.0,0.0
3731,other,0.0,0.0
3807,other,0.0,0.0
3834,other,0.0,0.0
3844,other,0.0,0.0
3889,other,0.0,0.0
3900,other,0.0,0.0
3913,other,0.0,0.0
3930,other,0.0,0.0
3956,other,0.0,0.0
4054,other,0.0,0.0
4055,other,0.0,0.0
4056,other,0.0,0.0
4122,other,0.0,0.0
4133,other,0.0,0.0
4136,other,0.0,0.0
4141,other,0.0,0.0
4200,other,0.0,0.0
4214,other,0.0,0.0
4238,other,0.0,0.0
4239,other,0.0,0.0
4243,other,0.0,0.0
4337,other,0.0,0.0
4378,other,0.0,0.0
4484,other,0.0,0.0
4486,other,0.0,0.0
4565,other,0.0,0.0
4578,other,0.0,0.0
4592,other,0.0,0.0
4653,other,0.0,0.0
4663,other,0.0,0.0
4664,other,0.0,0.0
4721,other,0.0,0.0
4725,other,0.0,0.0
4797,SPC,0.0,6.077143515095717
4800,other,0.0,0.0
4854,other,0.0,0.0
4918,other,0.0,0.0
4973,other,0.0,0.0
5006,other,0.0,0.0
5105,other,0.0,0.0
5116,other,0.0,0.0
5142,other,0.0,0.0
5162,cNCC,3.0839578661674527,0.0
5170,other,0.0,0.0
5172,other,0.0,0.0
5207,other,0.0,0.0
5208,other,0.0,0.0
5212,other,0.0,0.0
5277,other,0.0,0.0
5285,other,0.0,0.0
5292,other,0.0,0.0
5300,other,0.0,0.0
5318,other,0.0,0.0
5473,other,0.0,0.0
5507,other,0.0,0.0
5618,other,0.0,0.0
5669,other,0.0,0.0
5699,other,0.0,0.0
5704,other,0.0,0.0
5707,other,0.0,0.0
5762,other,0.0,0.0
5773,other,0.0,0.0
5923,other,0.0,0.0
5924,other,0.0,0.0
5988,other,0.0,0.0
6060,other,0.0,0.0
6076,other,0.0,0.0
6202,other,0.0,0.0
6265,other,0.0,0.0
6563,other,0.0,0.0
6661,other,0.0,0.0
6664,other,0.0,0.0
6665,other,0.0,0.0
6841,other,0.0,0.0
7115,other,0.0,0.0
7244,other,0.0,0.0
7345,other,0.0,0.0
7409,other,0.0,0.0
7604,other,0.0,0.0
7765,other,0.0,0.0
7779,other,0.0,0.0
7820,other,0.0,0.0
7875,other,0.0,0.0
7880,other,0.0,0.0
7898,other,0.0,0.0
8001,other,0.0,0.0
8010,other,0.0,0.0
8107,other,0.0,0.0
8232,other,0.0,0.0
8235,other,0.0,0.0
8355,other,0.0,0.0
8543,other,0.0,0.0
8738,other,0.0,0.0
8763,other,0.0,0.0
8925,other,0.0,0.0
9013,other,0.0,0.0
9356,other,0.0,0.0
9543,other,0.0,0.0
9632,other,0.0,0.0
9637,other,0.0,0.0
9935,other,0.0,0.0
10009,other,0.0,0.0
10738,other,0.0,0.0
10743,other,0.0,0.0
11206,other,0.0,0.0
11354,other,0.0,0.0
11602,other,0.0,0.0
11695,other,0.0,0.0
11779,other,0.0,0.0
12205,other,0.0,0.0
12489,other,0.0,0.0
12500,other,0.0,0.0
14380,other,0.0,0.0
15284,other,0.0,0.0
23262,other,0.0,0.0
