parent_id,ALDH1A1,CCDC102B,CDK1,CLU,COL1A1,COL1A2,COL3A1,COL9A2,CPE,CRABP2,EBF2,ELN,FABP3,FAM210B,FAM46C,FBLN5,GJA4,HSPB7,ISL1,ISLR,ITLN1,LDB3,LRRN3,LUM,MFAP2,MT1F,MT2A,MYBPC3,MYH6,MYH7,MYL2,MYL3,MYOM1,MYOZ2,MYRF,NAV1,NPPA,NUSAP1,OGN,PAM,PCSK1N,PTN,RSPO3,SBSPON,SLC39A8,SLC8A1,SORBS2,STMN2,TBX18,TBX5,TCF21,TCIM,TM4SF18,TMEM100,TNNI1,TNNT1,TOP2A,TPM1,TRIL
352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.408628631315172,0.0,0.0,0.0,0.0,0.0,7.793686767134803,7.323930505239588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279035981911601,0.0,0.0,6.408628631315172,0.0,0.0,0.0,0.0,0.0,0.0,6.408628631315172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.717127377459133,0.0,0.0,0.0,0.0
355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3439278778000885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7266330027636645,0.0,0.0,5.3439278778000885,0.0,0.0,6.034683666227958,6.949536812997092,0.0,0.0,5.3439278778000885,6.034683666227958,6.7266330027636645,0.0,0.0,7.285734989414698,6.034683666227958,0.0,7.642204338899188,0.0,0.0,0.0,0.0,0.0,6.034683666227958,6.439350371100098,0.0,0.0,5.3439278778000885,0.0,0.0,0.0,0.0,5.3439278778000885,0.0,5.3439278778000885,5.3439278778000885,0.0
362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.218643271861805,0.0,0.0,0.0,0.0,0.0,8.065522304010056,7.506142128543193,0.0,0.0,6.121495502161354,6.121495502161354,0.0,0.0,0.0,6.813544494621113,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0,6.121495502161354,0.0,0.0,0.0,0.0
364,0.0,0.0,0.0,0.0,7.601402334583733,5.812138499293826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.812138499293826,0.0,6.503789046997708,5.812138499293826,5.812138499293826,6.503789046997708,0.0,0.0,5.812138499293826,0.0,0.0,0.0,0.0,5.812138499293826,0.0,0.0,0.0,6.90875477931522,6.503789046997708,5.812138499293826,6.503789046997708,0.0,5.812138499293826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.812138499293826,0.0,0.0,0.0,0.0,0.0,6.503789046997708,0.0,6.503789046997708
365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.845940345101734,0.0,0.0,0.0,0.0,5.1556806061854905,0.0,0.0,0.0,0.0,0.0,0.0,5.1556806061854905,0.0,0.0,6.76049460158371,5.845940345101734,0.0,0.0,5.1556806061854905,5.1556806061854905,5.1556806061854905,0.0,0.0,8.584071645188684,5.1556806061854905,0.0,6.942623030403143,0.0,0.0,0.0,0.0,0.0,0.0,5.1556806061854905,0.0,0.0,5.1556806061854905,0.0,0.0,0.0,0.0,6.537640672314758,0.0,0.0,0.0,0.0
368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0734858835418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.763497875288668,0.0,0.0,0.0,0.0,0.0,6.167915732334905,6.4550737676928325,0.0,0.0,5.763497875288668,0.0,5.0734858835418,0.0,0.0,8.78093135902128,0.0,0.0,7.147434377349056,0.0,0.0,0.0,0.0,5.0734858835418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6584861997410245,0.0,0.0,0.0,5.6584861997410245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.349887961580832,0.0,6.754770585794848,0.0,0.0,0.0,0.0,8.650899568730047,0.0,0.0,0.0,5.6584861997410245,0.0,0.0,6.349887961580832,0.0,5.6584861997410245,5.6584861997410245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6584861997410245,0.0,5.6584861997410245,5.6584861997410245,0.0
377,0.0,0.0,0.0,0.0,7.174224817643044,6.077143515095717,6.077143515095717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.077143515095717,0.0,0.0,6.077143515095717,6.077143515095717,0.0,0.0,0.0,0.0,6.077143515095717,0.0,0.0,7.684743962713568,6.077143515095717,0.0,7.461715351917766,0.0,6.077143515095717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.174224817643044,0.0,0.0,0.0,0.0,0.0,0.0
379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.646690170246266,6.934047611962654,0.0,0.0,0.0,0.0,5.55067114056188,0.0,0.0,8.63799843622117,0.0,0.0,7.493245862612534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.241874007624498,0.0,0.0,0.0,0.0
395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.301472639381708,0.0,0.0,0.0,0.0,0.0,7.860799294944249,6.608999776101094,0.0,0.0,0.0,5.917199867519596,5.917199867519596,0.0,0.0,7.7067128739802735,6.608999776101094,0.0,7.0140153898827995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917199867519596,0.0
