gene,mean_cnc,mean_schwann,log2FC,pvalue
HSPB2,0.4838709677419355,4.659090909090909,-3.2673515237314206,6.029590444243409e-13
VIM,19.0,82.29545454545455,-2.114813270994656,3.2905879455288143e-11
MEF2C,0.1935483870967742,3.6818181818181817,-4.2496451318509685,4.39477051576682e-11
ALDH1A1,0.3548387096774194,28.613636363636363,-6.333391625479934,5.0869427926187237e-11
COL5A2,0.1935483870967742,3.8181818181818183,-4.302112537750713,8.633377242745334e-10
ERBB3,0.12903225806451613,2.1818181818181817,-4.079716672862569,1.021863099861662e-09
MPZ,0.12903225806451613,3.3181818181818183,-4.684578504571095,1.519126864667934e-09
SPARC,1.1290322580645162,6.045454545454546,-2.4207630711320243,2.2473050677109964e-09
S100B,0.41935483870967744,9.75,-4.539155518808058,3.9988331025297025e-09
CD24,14.32258064516129,0.6590909090909091,4.441668091286707,6.702460825188053e-09
ID3,3.4516129032258065,14.340909090909092,-2.0547935829539403,1.4588609154046914e-08
CRABP1,0.22580645161290322,5.318181818181818,-4.557768371487452,1.824035691149229e-08
MDFI,0.0967741935483871,1.6363636363636365,-4.079713166345702,1.927616235270982e-08
RHOB,1.8709677419354838,7.5,-2.0031053321317285,3.154895132323204e-08
PLAT,0.12903225806451613,5.636363636363637,-5.448950077255212,4.2824987716364087e-08
TAGLN3,4.774193548387097,0.20454545454545456,4.5447569214646375,5.9293372560676624e-08
DYNLT1,8.193548387096774,1.9090909090909092,2.101601992623566,1.134589016375336e-07
PLP1,1.1935483870967742,7.75,-2.698938232555,1.1722170827415554e-07
CD99,0.45161290322580644,2.0681818181818183,-2.1952019129218523,1.4283674814878558e-07
APLP1,4.451612903225806,0.13636363636363635,5.028787008666226,1.56144950084725e-07
COL9A3,0.8064516129032258,3.8636363636363638,-2.2602980225751876,1.8003820959934985e-07
RTN3,5.096774193548387,0.9545454545454546,2.4166974053151433,2.3071452852879777e-07
PLS3,0.41935483870967744,2.7954545454545454,-2.7368365547649764,2.322920780960311e-07
COL18A1,0.41935483870967744,2.8863636363636362,-2.78300671994323,3.6277864911506397e-07
LIMA1,0.1935483870967742,1.5,-2.9541898182781265,4.664157227427812e-07
GPM6B,0.6451612903225806,2.5681818181818183,-1.9930138848590748,6.202133047709264e-07
CRYAB,0.6451612903225806,9.181818181818182,-3.8310460005636235,7.43173444560117e-07
TBCB,7.67741935483871,1.5681818181818181,2.2915278827150916,8.10988727865231e-07
SLC15A3,0.03225806451612903,0.9772727272727273,-4.920986199843942,9.515400032940718e-07
TERF2IP,5.0,1.2045454545454546,2.0534383497918465,9.684961664696302e-07
TPI1,12.483870967741936,4.659090909090909,1.421944770802515,1.2979027470046149e-06
MLLT11,24.129032258064516,1.9318181818181819,3.6427381449845417,1.5328743300320378e-06
CHRNA3,4.774193548387097,0.13636363636363635,5.129715895619467,1.5331370720664667e-06
HMGA2,0.03225806451612903,1.5227272727272727,-5.560810106795492,1.7960602578075032e-06
SERPINH1,0.3225806451612903,1.9318181818181819,-2.5822238074588744,1.890693616647016e-06
ALDOA,12.35483870967742,3.2954545454545454,1.906526479148845,1.9784234639463557e-06
CRMP1,5.612903225806452,0.5909090909090909,3.247736901508061,2.0156207658232886e-06
USP53,0.06451612903225806,1.6818181818181819,-4.704196553597114,2.115003382441762e-06
ELAVL4,14.387096774193548,0.3409090909090909,5.399240480939968,2.2155078773099335e-06
MAP1B,31.096774193548388,0.9545454545454546,5.02580575670133,2.6807361161742353e-06
CALM2,30.838709677419356,9.022727272727273,1.7731068059745008,2.748447951017011e-06
STMN4,6.225806451612903,0.18181818181818182,5.097684642445799,3.0522735965817163e-06
PAFAH1B3,8.0,1.3863636363636365,2.5286934207791663,3.0604599399646005e-06
CALM1,12.741935483870968,2.6818181818181817,2.2483006772232264,3.3056091911883007e-06
SNAP25,3.2580645161290325,0.06818181818181818,5.5784635737162835,3.912814287780885e-06
NUDT4,0.2903225806451613,2.090909090909091,-2.848397367074338,4.2513559907093735e-06
PTN,1.032258064516129,4.068181818181818,-1.978579426032596,4.272795923580551e-06
COL2A1,0.12903225806451613,1.3409090909090908,-3.377397636175943,4.554629297285198e-06
BEX1,9.870967741935484,1.8863636363636365,2.387583100949534,4.824275404770506e-06
YWHAQ,9.806451612903226,3.2045454545454546,1.6136111662094972,5.132827387887549e-06
OLFML2A,0.06451612903225806,1.25,-4.276103197829977,5.213930359470803e-06
SPHK1,0.0,0.5454545454545454,-19.057102096346515,5.445745899413622e-06
RBFOX2,3.774193548387097,0.7727272727272727,2.288135701820065,6.205195525047235e-06
NOP56,3.6129032258064515,0.9772727272727273,1.8863243986779172,6.5049591700770905e-06
PCSK1N,15.548387096774194,0.18181818181818182,6.418116802466917,7.138054150124092e-06
COL4A2,0.06451612903225806,0.9318181818181818,-3.852295883025092,7.346528010742288e-06
DUSP6,0.16129032258064516,1.2272727272727273,-2.9277163298729727,7.531170321309045e-06
COX7A2L,5.193548387096774,1.9545454545454546,1.4098869713260607,8.135429000900877e-06
RUFY3,2.806451612903226,0.3181818181818182,3.140819861927916,8.447989706317166e-06
